
Call:
model.avg(object = stse_consensus@objects)

Component model call: 
glm(formula = paste(f, ""), family = binomial, data = data)

Component models: 
            df logLik  AICc delta weight
3/6/14/15    5 -22.69 57.52 40.88   0.00
3/6/14/24    5 -22.69 57.52 40.88   0.00
8/15/28/29   8 -17.88 57.52 40.88   0.00
15/19/20/27  5 -22.69 57.52 40.88   0.00
7/14/16/21   5 -22.69 57.52 40.88   0.00
3/5/6/22     5 -22.69 57.52 40.88   0.00
3/20/25/27   5 -22.69 57.52 40.88   0.00
4/12/19/22   5 -22.69 57.52 40.88   0.00
2/7/23       5 -22.69 57.52 40.88   0.00
3/6/22/25    5 -22.69 57.52 40.88   0.00
2/23/24      5 -22.69 57.52 40.88   0.00
3/4/18/19    5 -22.69 57.52 40.88   0.00
6/9/14/22    5 -22.69 57.52 40.88   0.00
2/4/12/19    5 -22.69 57.52 40.88   0.00
10/14/21/30  6 -21.20 57.52 40.88   0.00
2/19/23      5 -22.69 57.52 40.88   0.00
3/4/18/25    5 -22.69 57.52 40.88   0.00
15/20/21/25  5 -22.69 57.52 40.88   0.00
6/16/19/24   5 -22.69 57.52 40.88   0.00
3/4/15/18    5 -22.69 57.52 40.88   0.00
6/7/18/19    5 -22.69 57.52 40.88   0.00
2/23/25      5 -22.69 57.52 40.88   0.00
7/9/19/30    5 -22.69 57.52 40.88   0.00
14/16/25/27  5 -22.69 57.52 40.88   0.00
5/6/10/20    6 -21.21 57.52 40.88   0.00
7/16/20/21   5 -22.69 57.52 40.88   0.00
4/9/18/24    5 -22.69 57.52 40.88   0.00
2/18/23      5 -22.69 57.52 40.88   0.00
6/10/12/24   6 -21.21 57.52 40.88   0.00
4/5/12/22    5 -22.69 57.52 40.88   0.00
4/9/15/22    5 -22.69 57.52 40.88   0.00
2/4/5/12     5 -22.69 57.52 40.88   0.00
5/26/27/28   7 -19.61 57.52 40.88   0.00
4/9/13/25    5 -22.69 57.52 40.88   0.00
9/12/13/24   5 -22.69 57.52 40.88   0.00
4/9/13/19    5 -22.69 57.52 40.88   0.00
7/15/20/21   5 -22.69 57.52 40.88   0.00
6/18/19/24   5 -22.69 57.52 40.88   0.00
20/28        5 -22.69 57.53 40.88   0.00
22/29/30     5 -22.69 57.53 40.88   0.00
6/10/18/30   6 -21.21 57.53 40.88   0.00
4/12/16/22   5 -22.69 57.53 40.88   0.00
5/7/19/21    5 -22.69 57.53 40.88   0.00
7/9/24/30    5 -22.69 57.53 40.88   0.00
9/15/24/30   5 -22.69 57.53 40.88   0.00
2/4/12/25    5 -22.69 57.53 40.89   0.00
2/6/10/12    6 -21.21 57.53 40.89   0.00
9/15/19/30   5 -22.69 57.53 40.89   0.00
3/9/12/13    5 -22.69 57.53 40.89   0.00
7/14/15/21   5 -22.69 57.53 40.89   0.00
6/9/14/18    5 -22.69 57.53 40.89   0.00
14/15/21/25  5 -22.69 57.53 40.89   0.00
4/9/12/19    5 -22.69 57.53 40.89   0.00
14/15/19/21  5 -22.69 57.53 40.89   0.00
9/18/19/30   5 -22.69 57.53 40.89   0.00
6/7/16/19    5 -22.69 57.53 40.89   0.00
6/15/18/19   5 -22.69 57.53 40.89   0.00
5/12/13/16   5 -22.69 57.53 40.89   0.00
19/28        5 -22.69 57.53 40.89   0.00
9/16/23      5 -22.69 57.53 40.89   0.00
5/12/15/18   5 -22.69 57.53 40.89   0.00
2/6/18/25    5 -22.69 57.53 40.89   0.00
9/16/29      5 -22.69 57.53 40.89   0.00
3/4/22/25    5 -22.69 57.53 40.89   0.00
6/10/12/19   6 -21.21 57.53 40.89   0.00
6/10/12/22   6 -21.21 57.53 40.89   0.00
2/7/9/12     5 -22.69 57.53 40.89   0.00
9/10/12/30   6 -21.21 57.53 40.89   0.00
9/18/24/30   5 -22.69 57.53 40.89   0.00
6/18/19/22   5 -22.69 57.53 40.89   0.00
4/9/15/18    5 -22.69 57.53 40.89   0.00
4/7/13/16    5 -22.69 57.53 40.89   0.00
6/9/14/20    5 -22.69 57.53 40.89   0.00
11/15/27     5 -22.69 57.53 40.89   0.00
12/13/16/25  5 -22.69 57.53 40.89   0.00
9/18/22/30   5 -22.69 57.53 40.89   0.00
4/13/15/16   5 -22.69 57.53 40.89   0.00
2/6/7/25     5 -22.69 57.53 40.89   0.00
5/12/18/25   5 -22.69 57.53 40.89   0.00
3/6/7/16     5 -22.70 57.53 40.89   0.00
5/6/14/16    5 -22.70 57.53 40.89   0.00
3/4/5/22     5 -22.70 57.53 40.89   0.00
7/9/22/30    5 -22.70 57.53 40.89   0.00
7/20/21/25   5 -22.70 57.53 40.89   0.00
2/4/7/22     5 -22.70 57.53 40.89   0.00
6/7/9/14     5 -22.70 57.53 40.89   0.00
9/15/22/30   5 -22.70 57.53 40.89   0.00
5/6/18/20    5 -22.70 57.53 40.89   0.00
2/6/7/18     5 -22.70 57.53 40.89   0.00
2/6/18/20    5 -22.70 57.53 40.89   0.00
3/8/18/28    7 -19.61 57.53 40.89   0.00
4/12/22/25   5 -22.70 57.53 40.89   0.00
5/7/10/21    6 -21.21 57.53 40.89   0.00
6/16/19/25   5 -22.70 57.53 40.89   0.00
10/21/27/30  6 -21.21 57.54 40.89   0.00
6/19/22/25   5 -22.70 57.54 40.89   0.00
11/12/22     5 -22.70 57.54 40.89   0.00
2/6/7/16     5 -22.70 57.54 40.89   0.00
14/15/19/27  5 -22.70 57.54 40.89   0.00
2/6/7/15     5 -22.70 57.54 40.89   0.00
5/6/7/16     5 -22.70 57.54 40.89   0.00
5/6/15/18    5 -22.70 57.54 40.89   0.00
2/9/12/19    5 -22.70 57.54 40.90   0.00
3/4/7/13     5 -22.70 57.54 40.90   0.00
3/14/15/27   5 -22.70 57.54 40.90   0.00
8/26/28/29   8 -17.89 57.54 40.90   0.00
12/14/15/19  5 -22.70 57.54 40.90   0.00
5/6/18/24    5 -22.70 57.54 40.90   0.00
2/6/7/20     5 -22.70 57.54 40.90   0.00
4/9/20/22    5 -22.70 57.54 40.90   0.00
9/12/13/25   5 -22.70 57.54 40.90   0.00
6/13/27/29   6 -21.21 57.54 40.90   0.00
20/24/25/27  5 -22.70 57.54 40.90   0.00
14/20/23     5 -22.70 57.54 40.90   0.00
5/6/10/25    6 -21.21 57.54 40.90   0.00
4/9/16/18    5 -22.70 57.54 40.90   0.00
2/9/12/16    5 -22.70 57.54 40.90   0.00
15/16/21/25  5 -22.70 57.54 40.90   0.00
11/16/27     5 -22.70 57.54 40.90   0.00
5/6/10/24    6 -21.22 57.54 40.90   0.00
3/6/18/25    5 -22.70 57.54 40.90   0.00
3/16/20/27   5 -22.70 57.54 40.90   0.00
5/6/10/15    6 -21.22 57.54 40.90   0.00
5/6/7/10     6 -21.22 57.54 40.90   0.00
14/15/25/27  5 -22.70 57.54 40.90   0.00
4/5/10/21    6 -21.22 57.54 40.90   0.00
7/20/23      5 -22.70 57.54 40.90   0.00
2/6/16/18    5 -22.70 57.54 40.90   0.00
10/21/23     6 -21.22 57.54 40.90   0.00
8/11/26/28   8 -17.89 57.54 40.90   0.00
4/12/18/29   6 -21.22 57.54 40.90   0.00
14/16/24/27  5 -22.70 57.54 40.90   0.00
24/26/27/28  7 -19.62 57.55 40.90   0.00
2/4/7/20     5 -22.70 57.55 40.90   0.00
6/15/19/25   5 -22.70 57.55 40.90   0.00
9/10/20/21   6 -21.22 57.55 40.90   0.00
16/20/24/27  5 -22.70 57.55 40.90   0.00
4/7/9/18     5 -22.70 57.55 40.90   0.00
5/6/7/14     5 -22.70 57.55 40.90   0.00
15/16/19/27  5 -22.70 57.55 40.91   0.00
7/14/15/27   5 -22.70 57.55 40.91   0.00
3/4/14/20    5 -22.70 57.55 40.91   0.00
4/9/18/19    5 -22.70 57.55 40.91   0.00
4/9/18/25    5 -22.70 57.55 40.91   0.00
7/12/13/15   5 -22.70 57.55 40.91   0.00
2/3/12/22    5 -22.70 57.55 40.91   0.00
4/6/23/27    6 -21.22 57.55 40.91   0.00
16/19/21/25  5 -22.70 57.55 40.91   0.00
4/13/16/25   5 -22.70 57.55 40.91   0.00
2/5/10/18    6 -21.22 57.55 40.91   0.00
14/19/21/25  5 -22.70 57.55 40.91   0.00
5/10/13/22   6 -21.22 57.55 40.91   0.00
4/5/9/18     5 -22.70 57.55 40.91   0.00
2/6/15/18    5 -22.70 57.55 40.91   0.00
10/26/28/30  8 -17.89 57.55 40.91   0.00
2/4/15/22    5 -22.70 57.55 40.91   0.00
7/14/21/25   5 -22.70 57.55 40.91   0.00
2/6/7/22     5 -22.70 57.55 40.91   0.00
8/11/23/24   7 -19.62 57.55 40.91   0.00
3/20/24/27   5 -22.70 57.55 40.91   0.00
12/14/15/20  5 -22.70 57.55 40.91   0.00
2/6/7/24     5 -22.70 57.55 40.91   0.00
5/9/10/12    6 -21.22 57.55 40.91   0.00
5/16/23      5 -22.70 57.55 40.91   0.00
2/4/5/22     5 -22.70 57.55 40.91   0.00
11/20/27     5 -22.70 57.55 40.91   0.00
12/13/16/24  5 -22.70 57.55 40.91   0.00
7/16/21/25   5 -22.70 57.55 40.91   0.00
7/16/25/27   5 -22.70 57.55 40.91   0.00
4/5/9/12     5 -22.70 57.55 40.91   0.00
8/18/24/28   7 -19.62 57.55 40.91   0.00
9/14/23      5 -22.70 57.55 40.91   0.00
12/13/19/24  5 -22.70 57.55 40.91   0.00
3/12/13/19   5 -22.70 57.55 40.91   0.00
2/6/15/25    5 -22.70 57.55 40.91   0.00
3/4/12/20    5 -22.70 57.55 40.91   0.00
4/9/12/24    5 -22.70 57.55 40.91   0.00
5/12/13/19   5 -22.70 57.55 40.91   0.00
3/4/16/22    5 -22.70 57.55 40.91   0.00
9/14/29      5 -22.70 57.55 40.91   0.00
2/4/15/20    5 -22.70 57.55 40.91   0.00
3/6/7/9      5 -22.70 57.55 40.91   0.00
7/14/19/21   5 -22.70 57.55 40.91   0.00
12/13/19/25  5 -22.70 57.55 40.91   0.00
6/7/19/24    5 -22.70 57.55 40.91   0.00
4/5/13/16    5 -22.70 57.55 40.91   0.00
5/15/16/27   5 -22.71 57.55 40.91   0.00
2/6/18/24    5 -22.71 57.55 40.91   0.00
3/14/20/27   5 -22.71 57.55 40.91   0.00
2/6/18/22    5 -22.71 57.55 40.91   0.00
4/9/12/25    5 -22.71 57.55 40.91   0.00
5/14/15/27   5 -22.71 57.55 40.91   0.00
11/14/27     5 -22.71 57.55 40.91   0.00
20/23/24     5 -22.71 57.55 40.91   0.00
3/4/5/20     5 -22.71 57.55 40.91   0.00
3/15/16/27   5 -22.71 57.55 40.91   0.00
2/3/9/12     5 -22.71 57.55 40.91   0.00
9/12/15/20   5 -22.71 57.55 40.91   0.00
5/20/23      5 -22.71 57.56 40.91   0.00
7/20/25/27   5 -22.71 57.56 40.91   0.00
3/6/16/25    5 -22.71 57.56 40.92   0.00
9/24/29      5 -22.71 57.56 40.92   0.00
6/16/19/22   5 -22.71 57.56 40.92   0.00
11/24/27     5 -22.71 57.56 40.92   0.00
6/15/16/19   5 -22.71 57.56 40.92   0.00
15/19/24/27  5 -22.71 57.56 40.92   0.00
3/5/6/15     5 -22.71 57.56 40.92   0.00
3/5/6/24     5 -22.71 57.56 40.92   0.00
2/6/15/16    5 -22.71 57.56 40.92   0.00
16/19/25/27  5 -22.71 57.56 40.92   0.00
19/20/25/27  5 -22.71 57.56 40.92   0.00
4/9/22/25    5 -22.71 57.56 40.92   0.00
2/6/15/20    5 -22.71 57.56 40.92   0.00
3/5/6/20     5 -22.71 57.56 40.92   0.00
15/16/23     5 -22.71 57.56 40.92   0.00
14/20/25/27  5 -22.71 57.56 40.92   0.00
2/6/16/20    5 -22.71 57.56 40.92   0.00
12/14/15/24  5 -22.71 57.56 40.92   0.00
2/6/20/25    5 -22.71 57.56 40.92   0.00
20/23/25     5 -22.71 57.56 40.92   0.00
3/6/7/15     5 -22.71 57.56 40.92   0.00
3/6/7/24     5 -22.71 57.56 40.92   0.00
18/20/23     5 -22.71 57.56 40.92   0.00
5/10/12/20   6 -21.23 57.56 40.92   0.00
3/6/24/25    5 -22.71 57.56 40.92   0.00
5/10/15/21   6 -21.23 57.56 40.92   0.00
7/15/16/21   5 -22.71 57.56 40.92   0.00
15/16/19/21  5 -22.71 57.56 40.92   0.00
5/10/19/21   6 -21.23 57.56 40.92   0.00
3/6/7/22     5 -22.71 57.56 40.92   0.00
4/9/22/24    5 -22.71 57.56 40.92   0.00
3/6/20/25    5 -22.71 57.56 40.92   0.00
5/10/21/27   6 -21.23 57.56 40.92   0.00
2/7/12/22    5 -22.71 57.56 40.92   0.00
3/6/15/25    5 -22.71 57.56 40.92   0.00
2/4/16/22    5 -22.71 57.56 40.92   0.00
6/22/23/27   6 -21.23 57.56 40.92   0.00
14/20/24/27  5 -22.71 57.56 40.92   0.00
3/6/7/20     5 -22.71 57.56 40.92   0.00
7/15/16/27   5 -22.71 57.56 40.92   0.00
6/9/23/27    6 -21.23 57.57 40.92   0.00
3/6/7/18     5 -22.71 57.57 40.92   0.00
3/12/13/16   5 -22.71 57.57 40.92   0.00
12/15/18/19  5 -22.71 57.57 40.92   0.00
2/9/12/24    5 -22.71 57.57 40.92   0.00
3/14/16/27   5 -22.71 57.57 40.92   0.00
6/10/20/21   6 -21.23 57.57 40.92   0.00
15/24/25/27  5 -22.71 57.57 40.92   0.00
3/16/23      5 -22.71 57.57 40.93   0.00
2/5/12/16    5 -22.71 57.57 40.93   0.00
2/6/16/25    5 -22.71 57.57 40.93   0.00
7/20/24/27   5 -22.71 57.57 40.93   0.00
6/7/19/22    5 -22.71 57.57 40.93   0.00
4/13/16/19   5 -22.71 57.57 40.93   0.00
6/7/15/19    5 -22.71 57.57 40.93   0.00
7/28         5 -22.71 57.57 40.93   0.00
6/10/15/30   6 -21.23 57.57 40.93   0.00
9/10/20/30   6 -21.23 57.57 40.93   0.00
2/18/20/30   5 -22.71 57.57 40.93   0.00
6/9/15/25    5 -22.71 57.57 40.93   0.00
2/6/24/25    5 -22.71 57.57 40.93   0.00
4/13/16/24   5 -22.71 57.57 40.93   0.00
6/9/11       5 -22.71 57.57 40.93   0.00
2/6/22/25    5 -22.71 57.57 40.93   0.00
7/15/24/27   5 -22.71 57.57 40.93   0.00
2/6/16/24    5 -22.71 57.57 40.93   0.00
5/16/24/27   5 -22.71 57.57 40.93   0.00
6/10/19/27   6 -21.23 57.57 40.93   0.00
5/7/12/13    5 -22.71 57.57 40.93   0.00
2/4/19/22    5 -22.71 57.57 40.93   0.00
3/16/24/27   5 -22.71 57.57 40.93   0.00
5/6/16/24    5 -22.71 57.57 40.93   0.00
2/9/12/25    5 -22.71 57.57 40.93   0.00
5/20/25/27   5 -22.71 57.57 40.93   0.00
3/14/24/27   5 -22.71 57.57 40.93   0.00
3/6/9/16     5 -22.71 57.57 40.93   0.00
3/5/20/27    5 -22.71 57.57 40.93   0.00
2/6/20/24    5 -22.72 57.57 40.93   0.00
2/6/20/22    5 -22.72 57.57 40.93   0.00
2/4/20/25    5 -22.72 57.57 40.93   0.00
5/15/24/27   5 -22.72 57.57 40.93   0.00
2/4/22/24    5 -22.72 57.57 40.93   0.00
2/6/16/22    5 -22.72 57.57 40.93   0.00
9/12/18/19   5 -22.72 57.57 40.93   0.00
5/6/14/25    5 -22.72 57.57 40.93   0.00
6/23/25/27   6 -21.23 57.57 40.93   0.00
2/4/22/25    5 -22.72 57.57 40.93   0.00
3/11/27      5 -22.72 57.57 40.93   0.00
3/7/20/27    5 -22.72 57.57 40.93   0.00
14/24/25/27  5 -22.72 57.57 40.93   0.00
3/4/19/22    5 -22.72 57.58 40.93   0.00
11/19/27     5 -22.72 57.58 40.93   0.00
4/15/16/18   5 -22.72 57.58 40.93   0.00
3/15/24/27   5 -22.72 57.58 40.93   0.00
13/15/29     5 -22.72 57.58 40.93   0.00
5/6/7/22     5 -22.72 57.58 40.94   0.00
4/9/16/22    5 -22.72 57.58 40.94   0.00
2/4/16/20    5 -22.72 57.58 40.94   0.00
4/5/7/13     5 -22.72 57.58 40.94   0.00
3/4/14/15    5 -22.72 57.58 40.94   0.00
4/11/18      5 -22.72 57.58 40.94   0.00
4/5/9/22     5 -22.72 57.58 40.94   0.00
19/20/24/27  5 -22.72 57.58 40.94   0.00
5/6/16/22    5 -22.72 57.58 40.94   0.00
12/14/15/22  5 -22.72 57.58 40.94   0.00
12/14/20/22  5 -22.72 57.58 40.94   0.00
5/6/14/15    5 -22.72 57.58 40.94   0.00
7/9/18/30    5 -22.72 57.58 40.94   0.00
3/4/22/24    5 -22.72 57.58 40.94   0.00
6/14/18/25   5 -22.72 57.58 40.94   0.00
3/10/20/30   6 -21.23 57.58 40.94   0.00
6/19/22/24   5 -22.72 57.58 40.94   0.00
5/6/14/24    5 -22.72 57.58 40.94   0.00
3/19/20/27   5 -22.72 57.58 40.94   0.00
5/9/10/22    6 -21.23 57.58 40.94   0.00
12/14/20/24  5 -22.72 57.58 40.94   0.00
12/14/16/24  5 -22.72 57.58 40.94   0.00
3/4/15/22    5 -22.72 57.58 40.94   0.00
2/6/15/24    5 -22.72 57.58 40.94   0.00
6/15/19/24   5 -22.72 57.58 40.94   0.00
2/6/15/22    5 -22.72 57.58 40.94   0.00
9/10/12/20   6 -21.24 57.58 40.94   0.00
7/16/19/21   5 -22.72 57.58 40.94   0.00
4/9/19/22    5 -22.72 57.58 40.94   0.00
3/14/25/27   5 -22.72 57.58 40.94   0.00
7/16/24/27   5 -22.72 57.58 40.94   0.00
5/11/27      5 -22.72 57.58 40.94   0.00
4/15/18/24   5 -22.72 57.58 40.94   0.00
4/5/15/18    5 -22.72 57.58 40.94   0.00
4/16/18/25   5 -22.72 57.58 40.94   0.00
3/4/14/24    5 -22.72 57.58 40.94   0.00
4/16/18/19   5 -22.72 57.58 40.94   0.00
4/16/18/24   5 -22.72 57.58 40.94   0.00
4/7/16/18    5 -22.72 57.58 40.94   0.00
7/9/15/30    5 -22.72 57.58 40.94   0.00
4/5/16/18    5 -22.72 57.58 40.94   0.00
9/22/29      5 -22.72 57.58 40.94   0.00
8/11/12/29   7 -19.64 57.58 40.94   0.00
2/20/25/30   5 -22.72 57.58 40.94   0.00
5/6/7/25     5 -22.72 57.59 40.94   0.00
4/15/18/25   5 -22.72 57.59 40.94   0.00
3/15/19/27   5 -22.72 57.59 40.94   0.00
7/14/24/27   5 -22.72 57.59 40.94   0.00
4/6/10/30    6 -21.24 57.59 40.94   0.00
4/7/9/22     5 -22.72 57.59 40.94   0.00
4/7/15/18    5 -22.72 57.59 40.94   0.00
4/15/18/19   5 -22.72 57.59 40.94   0.00
9/15/18/30   5 -22.72 57.59 40.94   0.00
4/7/13/15    5 -22.72 57.59 40.95   0.00
4/5/18/24    5 -22.72 57.59 40.95   0.00
5/6/14/20    5 -22.72 57.59 40.95   0.00
5/6/15/16    5 -22.72 57.59 40.95   0.00
3/8/24/28    7 -19.64 57.59 40.95   0.00
5/20/24/27   5 -22.72 57.59 40.95   0.00
3/4/14/19    5 -22.72 57.59 40.95   0.00
4/5/7/18     5 -22.72 57.59 40.95   0.00
15/19/25/27  5 -22.72 57.59 40.95   0.00
4/7/18/24    5 -22.72 57.59 40.95   0.00
12/14/22/24  5 -22.72 57.59 40.95   0.00
3/6/9/24     5 -22.72 57.59 40.95   0.00
10/12/19/30  6 -21.24 57.59 40.95   0.00
4/18/19/24   5 -22.72 57.59 40.95   0.00
4/5/18/19    5 -22.72 57.59 40.95   0.00
7/11/27      5 -22.72 57.59 40.95   0.00
4/5/18/25    5 -22.72 57.59 40.95   0.00
4/18/24/25   5 -22.72 57.59 40.95   0.00
4/5/13/15    5 -22.72 57.59 40.95   0.00
2/6/22/24    5 -22.72 57.59 40.95   0.00
7/12/13/24   5 -22.72 57.59 40.95   0.00
2/4/20/24    5 -22.72 57.59 40.95   0.00
2/4/5/20     5 -22.72 57.59 40.95   0.00
4/7/18/19    5 -22.72 57.59 40.95   0.00
6/10/22/30   6 -21.24 57.59 40.95   0.00
6/16/23/27   6 -21.24 57.59 40.95   0.00
23/26/27/29  7 -19.64 57.59 40.95   0.00
4/7/18/25    5 -22.72 57.59 40.95   0.00
5/6/7/15     5 -22.72 57.59 40.95   0.00
2/3/7/12     5 -22.72 57.59 40.95   0.00
5/10/12/14   6 -21.24 57.59 40.95   0.00
4/18/19/25   5 -22.72 57.59 40.95   0.00
7/12/13/25   5 -22.72 57.59 40.95   0.00
5/6/7/20     5 -22.72 57.59 40.95   0.00
14/16/20/27  5 -22.72 57.59 40.95   0.00
5/12/14/22   5 -22.73 57.59 40.95   0.00
3/4/14/25    5 -22.73 57.59 40.95   0.00
3/7/12/13    5 -22.73 57.59 40.95   0.00
5/6/7/24     5 -22.73 57.59 40.95   0.00
9/12/15/22   5 -22.73 57.59 40.95   0.00
5/6/14/22    5 -22.73 57.59 40.95   0.00
5/6/22/25    5 -22.73 57.60 40.95   0.00
6/10/14/30   6 -21.24 57.60 40.95   0.00
2/6/10/30    6 -21.24 57.60 40.96   0.00
5/6/16/20    5 -22.73 57.60 40.96   0.00
9/25/29      5 -22.73 57.60 40.96   0.00
3/6/9/22     5 -22.73 57.60 40.96   0.00
11/15/23/26  7 -19.64 57.60 40.96   0.00
6/7/23/27    6 -21.24 57.60 40.96   0.00
7/16/20/27   5 -22.73 57.60 40.96   0.00
5/9/29       5 -22.73 57.60 40.96   0.00
16/23/25     5 -22.73 57.60 40.96   0.00
5/14/24/27   5 -22.73 57.60 40.96   0.00
6/23/24/27   6 -21.24 57.60 40.96   0.00
13/14/29     5 -22.73 57.60 40.96   0.00
16/19/24/27  5 -22.73 57.60 40.96   0.00
3/6/9/20     5 -22.73 57.60 40.96   0.00
3/10/21/29   7 -19.65 57.60 40.96   0.00
6/20/23/27   6 -21.24 57.60 40.96   0.00
7/12/18/19   5 -22.73 57.60 40.96   0.00
2/6/23/27    6 -21.24 57.60 40.96   0.00
13/18/29     5 -22.73 57.60 40.96   0.00
5/6/23/27    6 -21.24 57.60 40.96   0.00
6/15/19/22   5 -22.73 57.60 40.96   0.00
15/19/21/25  5 -22.73 57.60 40.96   0.00
7/15/21/25   5 -22.73 57.60 40.96   0.00
8/11/22/23   7 -19.65 57.60 40.96   0.00
4/5/13/19    5 -22.73 57.60 40.96   0.00
16/19/23     5 -22.73 57.60 40.96   0.00
5/10/27/30   6 -21.25 57.60 40.96   0.00
3/24/25/27   5 -22.73 57.60 40.96   0.00
12/18/19/24  5 -22.73 57.60 40.96   0.00
3/5/12/30    5 -22.73 57.60 40.96   0.00
3/15/25/27   5 -22.73 57.60 40.96   0.00
7/29/30      5 -22.73 57.60 40.96   0.00
3/6/9/18     5 -22.73 57.60 40.96   0.00
14/19/24/27  5 -22.73 57.60 40.96   0.00
6/10/13/20   6 -21.25 57.60 40.96   0.00
3/6/9/15     5 -22.73 57.60 40.96   0.00
4/7/13/19    5 -22.73 57.60 40.96   0.00
7/15/19/21   5 -22.73 57.60 40.96   0.00
7/15/19/27   5 -22.73 57.60 40.96   0.00
2/12/19/22   5 -22.73 57.60 40.96   0.00
6/10/19/30   6 -21.25 57.60 40.96   0.00
2/10/12/20   6 -21.25 57.60 40.96   0.00
3/4/13/19    5 -22.73 57.60 40.96   0.00
2/7/16/30    5 -22.73 57.61 40.96   0.00
16/19/20/27  5 -22.73 57.61 40.96   0.00
24/29/30     5 -22.73 57.61 40.96   0.00
3/14/19/27   5 -22.73 57.61 40.97   0.00
5/15/19/27   5 -22.73 57.61 40.97   0.00
7/16/23      5 -22.73 57.61 40.97   0.00
6/10/24/30   6 -21.25 57.61 40.97   0.00
7/14/20/27   5 -22.73 57.61 40.97   0.00
10/12/14/21  6 -21.25 57.61 40.97   0.00
2/7/20/30    5 -22.73 57.61 40.97   0.00
3/6/16/18    5 -22.73 57.61 40.97   0.00
6/7/10/30    6 -21.25 57.61 40.97   0.00
16/28        5 -22.73 57.61 40.97   0.00
5/28         5 -22.73 57.61 40.97   0.00
7/19/21/25   5 -22.73 57.61 40.97   0.00
2/5/20/30    5 -22.73 57.61 40.97   0.00
4/5/13/24    5 -22.73 57.61 40.97   0.00
16/18/23     5 -22.73 57.61 40.97   0.00
7/24/25/27   5 -22.73 57.61 40.97   0.00
5/15/25/27   5 -22.73 57.61 40.97   0.00
5/24/25/27   5 -22.73 57.61 40.97   0.00
12/16/18/19  5 -22.73 57.61 40.97   0.00
4/7/13/24    5 -22.73 57.61 40.97   0.00
5/6/16/25    5 -22.73 57.61 40.97   0.00
7/15/25/27   5 -22.73 57.61 40.97   0.00
3/6/16/22    5 -22.73 57.61 40.97   0.00
2/12/15/22   5 -22.73 57.61 40.97   0.00
4/7/13/25    5 -22.73 57.61 40.97   0.00
13/20/29     5 -22.73 57.61 40.97   0.00
4/5/13/25    5 -22.73 57.61 40.97   0.00
5/16/20/27   5 -22.74 57.61 40.97   0.00
6/14/15/25   5 -22.74 57.61 40.97   0.00
4/7/12/20    5 -22.74 57.61 40.97   0.00
2/9/14/15    5 -22.74 57.61 40.97   0.00
4/9/15/20    5 -22.74 57.61 40.97   0.00
6/10/18/21   6 -21.25 57.61 40.97   0.00
12/14/19/24  5 -22.74 57.62 40.97   0.00
3/16/19/27   5 -22.74 57.62 40.97   0.00
3/6/16/20    5 -22.74 57.62 40.97   0.00
19/29/30     5 -22.74 57.62 40.97   0.00
5/10/14/30   6 -21.25 57.62 40.97   0.00
20/29/30     5 -22.74 57.62 40.97   0.00
3/19/25/27   5 -22.74 57.62 40.97   0.00
19/24/25/27  5 -22.74 57.62 40.98   0.00
3/12/18/19   5 -22.74 57.62 40.98   0.00
3/6/15/16    5 -22.74 57.62 40.98   0.00
3/6/16/24    5 -22.74 57.62 40.98   0.00
16/23/24     5 -22.74 57.62 40.98   0.00
14/19/20/27  5 -22.74 57.62 40.98   0.00
12/18/19/25  5 -22.74 57.62 40.98   0.00
3/4/13/15    5 -22.74 57.62 40.98   0.00
7/14/25/27   5 -22.74 57.62 40.98   0.00
7/19/20/27   5 -22.74 57.62 40.98   0.00
9/13/23      5 -22.74 57.62 40.98   0.00
6/11/18      5 -22.74 57.62 40.98   0.00
3/7/14/27    5 -22.74 57.62 40.98   0.00
2/20/22/30   5 -22.74 57.62 40.98   0.00
2/5/18/30    5 -22.74 57.62 40.98   0.00
12/14/15/16  5 -22.74 57.62 40.98   0.00
7/9/29       5 -22.74 57.62 40.98   0.00
2/12/22/24   5 -22.74 57.62 40.98   0.00
6/10/16/21   6 -21.26 57.62 40.98   0.00
3/4/13/24    5 -22.74 57.62 40.98   0.00
3/4/9/20     5 -22.74 57.62 40.98   0.00
3/4/10/14    6 -21.26 57.62 40.98   0.00
3/19/24/27   5 -22.74 57.62 40.98   0.00
6/9/22/25    5 -22.74 57.62 40.98   0.00
2/5/22/30    5 -22.74 57.62 40.98   0.00
2/16/18/30   5 -22.74 57.62 40.98   0.00
7/14/16/27   5 -22.74 57.62 40.98   0.00
5/14/16/27   5 -22.74 57.62 40.98   0.00
5/14/25/27   5 -22.74 57.62 40.98   0.00
2/5/9/10     6 -21.26 57.62 40.98   0.00
5/14/20/27   5 -22.74 57.62 40.98   0.00
2/5/10/22    6 -21.26 57.62 40.98   0.00
3/5/14/27    5 -22.74 57.63 40.98   0.00
6/14/15/18   5 -22.74 57.63 40.98   0.00
14/19/25/27  5 -22.74 57.63 40.98   0.00
3/4/13/25    5 -22.74 57.63 40.98   0.00
4/14/15/22   5 -22.74 57.63 40.99   0.00
5/9/10/14    6 -21.26 57.63 40.99   0.00
5/29/30      5 -22.74 57.63 40.99   0.00
2/16/24/30   5 -22.74 57.63 40.99   0.00
2/5/12/24    5 -22.74 57.63 40.99   0.00
5/7/20/27    5 -22.74 57.63 40.99   0.00
2/14/16/30   5 -22.74 57.63 40.99   0.00
